Country,2022,2021,2020,2019,2018
Luxembourg,"$126,426","$133,590","$117,370","$112,622","$116,787"
Bermuda,"$118,846","$111,775","$107,792","$116,153","$113,051"
Norway,"$106,149","$90,655","$68,340","$76,431","$82,793"
Ireland,"$104,039","$100,172","$85,420","$80,927","$79,250"
Switzerland,"$92,101","$91,992","$85,656","$84,122","$85,217"
Qatar,"$88,046","$66,838","$52,316","$62,827","$66,264"
Singapore,"$82,808","$77,710","$61,274","$66,070","$66,837"
United States,"$76,399","$70,219","$63,529","$65,120","$62,823"
Iceland,"$72,903","$68,594","$58,814","$68,403","$74,452"
Denmark,"$66,983","$68,008","$60,915","$59,593","$61,592"
Australia,"$64,491","$60,445","$51,722","$54,941","$57,207"
Netherlands,"$55,985","$57,708","$52,163","$52,476","$53,045"
Sweden,"$55,873","$61,143","$52,838","$51,939","$54,589"
Canada,"$54,966","$52,359","$43,350","$46,374","$46,548"
Israel,"$54,660","$52,167","$44,847","$44,452","$42,407"
UAE,"$53,758","$44,316","$37,629","$45,376","$46,722"
Austria,"$52,131","$53,638","$48,809","$50,070","$51,467"
Finland,"$50,537","$53,490","$49,170","$48,630","$49,988"
Belgium,"$49,583","$51,268","$45,518","$46,642","$47,545"
Hong Kong,"$48,984","$49,765","$46,109","$48,359","$48,538"
Germany,"$48,432","$51,204","$46,773","$46,794","$47,939"
New Zealand,"$48,249","$49,996","$41,761","$42,796","$43,237"
United Kingdom,"$45,850","$46,586","$40,318","$42,747","$43,306"
Kuwait,"$43,233","$32,187","$24,298","$30,666","$32,012"
Andorra,"$41,993","$42,072","$37,207","$41,329","$42,905"
France,"$40,964","$43,659","$39,055","$40,495","$41,558"
Brunei,"$37,152","$31,449","$27,179","$30,748","$31,241"
Sint Maarten (Dutch Part),"$36,220","$32,317","$29,314","$35,084","$28,988"
Puerto Rico,"$35,209","$32,602","$31,427","$32,917","$31,615"
Italy,"$34,158","$35,770","$31,919","$33,674","$34,622"
Malta,"$33,941","$34,218","$29,197","$31,507","$31,566"
Japan,"$33,815","$39,827","$39,987","$40,416","$39,751"
South Korea,"$32,255","$34,998","$31,721","$31,902","$33,437"
Macao,"$31,618","$43,873","$37,646","$83,183","$84,923"
Bahamas,"$31,458","$28,260","$23,998","$32,279","$31,484"
Cyprus,"$31,284","$31,552","$28,036","$29,418","$29,420"
Saudi Arabia,"$30,436","$24,161","$20,398","$23,406","$24,176"
Bahrain,"$30,152","$26,860","$23,433","$25,869","$25,416"
Slovenia,"$29,457","$29,291","$25,545","$26,016","$26,124"
Spain,"$29,350","$30,104","$26,960","$29,582","$30,380"
Estonia,"$28,333","$27,944","$23,595","$23,424","$23,166"
Czech Republic,"$27,638","$26,823","$22,993","$23,665","$23,424"
Oman,"$25,057","$19,509","$16,708","$19,132","$19,888"
Turks And Caicos Islands,"$24,918","$23,159","$20,882","$27,795","$26,832"
Lithuania,"$24,827","$23,713","$20,364","$19,598","$19,186"
Portugal,"$24,275","$24,598","$22,242","$23,331","$23,563"
Latvia,"$21,851","$21,080","$18,207","$17,945","$17,865"
Slovak Republic,"$21,258","$21,783","$19,552","$19,382","$19,486"
Uruguay,"$20,795","$17,924","$15,650","$18,098","$19,026"
Greece,"$20,732","$20,193","$17,659","$19,144","$19,757"
St. Kitts And Nevis,"$20,177","$18,083","$18,566","$23,219","$22,548"
Barbados,"$20,019","$17,225","$16,644","$19,003","$18,225"
Guyana,"$18,990","$9,999","$6,863","$6,477","$6,095"
Antigua And Barbuda,"$18,745","$16,740","$15,285","$18,188","$17,514"
Hungary,"$18,463","$18,772","$16,126","$16,786","$16,425"
Croatia,"$18,413","$17,748","$14,237","$15,086","$15,003"
Poland,"$18,321","$18,000","$15,817","$15,700","$15,505"
Trinidad And Tobago,"$18,222","$16,033","$13,872","$15,691","$16,164"
Panama,"$17,358","$15,491","$13,293","$16,473","$16,156"
Romania,"$15,892","$14,927","$13,047","$12,958","$12,494"
Seychelles,"$15,875","$12,963","$12,020","$16,851","$16,409"
Chile,"$15,356","$16,247","$13,165","$14,627","$15,796"
Russia,"$15,345","$12,593","$10,194","$11,536","$11,287"
Bulgaria,"$13,772","$12,222","$10,153","$9,879","$9,452"
Argentina,"$13,686","$10,636","$8,496","$9,964","$11,795"
Costa Rica,"$13,199","$12,537","$12,179","$12,669","$12,383"
China,"$12,720","$12,618","$10,409","$10,144","$9,905"
Malaysia,"$11,972","$11,109","$10,161","$11,132","$11,074"
Nauru,"$11,914","$11,633","$10,125","$10,317","$10,986"
Maldives,"$11,818","$10,366","$7,282","$11,119","$10,824"
St. Lucia,"$11,481","$9,414","$8,458","$11,727","$11,564"
Kazakhstan,"$11,244","$10,374","$9,122","$9,813","$9,813"
Mexico,"$11,091","$10,046","$8,655","$10,145","$9,857"
Turkey,"$10,616","$9,661","$8,561","$9,103","$9,401"
Mauritius,"$10,216","$9,063","$9,005","$11,403","$11,643"
Dominican Republic,"$10,121","$8,477","$7,168","$8,173","$7,947"
Grenada,"$10,016","$9,011","$8,438","$9,888","$9,574"
Montenegro,"$9,894","$9,466","$7,677","$8,910","$8,850"
Serbia,"$9,394","$9,230","$7,734","$7,417","$7,252"
St. Vincent And The Grenadines,"$9,125","$8,360","$8,306","$8,680","$8,400"
Brazil,"$8,918","$7,697","$6,924","$8,845","$9,121"
Gabon,"$8,820","$8,636","$6,680","$7,524","$7,695"
Dominica,"$8,415","$7,668","$7,003","$8,562","$7,833"
Belarus,"$7,905","$7,490","$6,543","$6,838","$6,360"
Botswana,"$7,738","$7,239","$5,875","$6,691","$6,948"
Azerbaijan,"$7,737","$5,408","$4,230","$4,806","$4,740"
Bosnia,"$7,585","$7,230","$6,095","$6,095","$6,024"
Peru,"$7,126","$6,635","$6,064","$6,956","$6,912"
Equatorial Guinea,"$7,053","$7,507","$6,328","$7,317","$8,719"
Armenia,"$7,014","$4,967","$4,506","$4,829","$4,392"
Belize,"$6,968","$6,228","$5,267","$6,211","$6,059"
Thailand,"$6,909","$7,061","$7,002","$7,629","$7,125"
Albania,"$6,803","$6,377","$5,343","$5,396","$5,288"
South Africa,"$6,776","$7,055","$5,742","$6,689","$7,049"
Marshall Islands,"$6,728","$6,172","$5,568","$5,189","$4,769"
Libya,"$6,716","$5,909","$7,035","$10,542","$11,838"
Colombia,"$6,630","$6,183","$5,304","$6,437","$6,782"
Georgia,"$6,628","$5,023","$4,256","$4,696","$4,722"
North Macedonia,"$6,591","$6,695","$5,965","$6,070","$6,109"
Ecuador,"$6,391","$5,965","$5,645","$6,233","$6,321"
Paraguay,"$6,153","$5,959","$5,353","$5,808","$6,243"
Jamaica,"$6,047","$5,184","$4,897","$5,626","$5,594"
Iraq,"$5,937","$4,771","$4,251","$5,621","$5,601"
Suriname,"$5,858","$4,869","$4,797","$6,690","$6,731"
Moldova,"$5,563","$5,236","$4,376","$4,405","$4,157"
Guatemala,"$5,473","$5,029","$4,610","$4,648","$4,486"
Kosovo,"$5,351","$5,270","$4,311","$4,416","$4,384"
Tuvalu,"$5,335","$5,373","$4,675","$4,940","$4,419"
Fiji,"$5,317","$4,647","$4,864","$5,968","$6,073"
El Salvador,"$5,127","$4,664","$3,962","$4,280","$4,146"
Mongolia,"$4,947","$4,566","$4,041","$4,395","$4,165"
Namibia,"$4,911","$4,919","$4,252","$5,126","$5,687"
Indonesia,"$4,788","$4,334","$3,896","$4,151","$3,903"
Ukraine,"$4,534","$4,828","$3,752","$3,661","$3,097"
Iran,"$4,388","$4,084","$2,746","$3,277","$3,830"
Egypt,"$4,295","$3,887","$3,572","$3,017","$2,531"
Algeria,"$4,274","$3,700","$3,354","$4,022","$4,172"
Jordan,"$4,205","$4,047","$3,988","$4,160","$4,146"
Vietnam,"$4,164","$3,756","$3,586","$3,491","$3,267"
Eswatini,"$4,040","$3,983","$3,373","$3,819","$4,021"
Cabo Verde,"$3,903","$3,558","$3,224","$3,928","$3,860"
West Bank And Gaza,"$3,789","$3,679","$3,234","$3,657","$3,562"
Tunisia,"$3,777","$3,807","$3,498","$3,478","$3,577"
Samoa,"$3,743","$3,857","$4,043","$4,308","$4,189"
Micronesia,"$3,741","$3,571","$3,639","$3,699","$3,623"
Morocco,"$3,528","$3,795","$3,258","$3,499","$3,493"
Bolivia,"$3,523","$3,345","$3,069","$3,472","$3,471"
Philippines,"$3,499","$3,461","$3,224","$3,414","$3,195"
Sri Lanka,"$3,354","$3,994","$3,852","$4,083","$4,361"
Djibouti,"$3,136","$3,050","$2,918","$2,876","$2,756"
Honduras,"$3,040","$2,772","$2,354","$2,519","$2,458"
Papua New Guinea,"$3,020","$2,645","$2,446","$2,594","$2,584"
Vanuatu,"$3,010","$3,045","$2,918","$3,077","$3,077"
Angola,"$2,999","$1,904","$1,503","$2,142","$2,488"
Bangladesh,"$2,688","$2,458","$2,233","$2,122","$1,963"
Republic Of Congo,"$2,448","$2,290","$1,838","$2,289","$2,512"
Sao Tome And Principe,"$2,404","$2,361","$2,161","$1,992","$1,951"
India,"$2,389","$2,238","$1,913","$2,050","$1,974"
Timor-Leste,"$2,358","$2,741","$1,660","$1,584","$1,239"
Nicaragua,"$2,255","$2,065","$1,877","$1,906","$1,982"
Uzbekistan,"$2,255","$1,993","$1,759","$1,795","$1,604"
Solomon Islands,"$2,203","$2,233","$2,222","$2,399","$2,450"
Mauritania,"$2,191","$2,166","$1,868","$1,840","$1,750"
Nigeria,"$2,184","$2,066","$2,075","$2,334","$2,126"
Ghana,"$2,176","$2,411","$2,177","$2,168","$2,180"
Kenya,"$2,099","$2,070","$1,936","$1,970","$1,846"
Lao PDR,"$2,088","$2,536","$2,593","$2,599","$2,553"
Cambodia,"$1,787","$1,625","$1,578","$1,671","$1,533"
Haiti,"$1,748","$1,824","$1,283","$1,345","$1,490"
Kiribati,"$1,702","$1,766","$1,404","$1,410","$1,607"
Kyrgyz Republic,"$1,607","$1,306","$1,183","$1,374","$1,308"
Senegal,"$1,599","$1,634","$1,492","$1,463","$1,484"
Pakistan,"$1,597","$1,505","$1,322","$1,437","$1,621"
Cameroon,"$1,588","$1,667","$1,539","$1,539","$1,594"
Guinea,"$1,532","$1,189","$1,074","$1,044",$944
Zambia,"$1,488","$1,137",$957,"$1,268","$1,475"
Comoros,"$1,485","$1,577","$1,520","$1,511","$1,531"
Nepal,"$1,337","$1,229","$1,139","$1,186","$1,162"
Benin,"$1,303","$1,361","$1,238","$1,171","$1,194"
Zimbabwe,"$1,267","$1,774","$1,373","$1,422","$2,269"
Tanzania,"$1,192","$1,146","$1,104","$1,051","$1,012"
Lesotho,"$1,107","$1,040",$940,"$1,094","$1,163"
Sudan,"$1,102",$750,$608,$748,$770
Myanmar,"$1,096","$1,211","$1,477","$1,295","$1,275"
Tajikistan,"$1,054",$917,$852,$889,$851
Ethiopia,"$1,028",$925,$919,$840,$758
Rwanda,$966,$821,$774,$806,$769
Uganda,$964,$883,$847,$823,$793
Togo,$918,$964,$875,$848,$874
Gambia,$840,$772,$704,$723,$683
Mali,$833,$882,$823,$840,$856
Burkina Faso,$833,$893,$833,$772,$779
Guinea-Bissau,$776,$795,$710,$731,$782
Liberia,$755,$676,$598,$666,$700
Chad,$717,$686,$644,$702,$720
Yemen,$677,$604,$584,$694,$702
Malawi,$645,$634,$622,$584,$538
Democratic Republic Of Congo,$586,$577,$525,$576,$546
Mozambique,$541,$492,$454,$508,$505
Niger,$533,$591,$565,$551,$567
Madagascar,$505,$503,$462,$512,$513
Somalia,$462,$447,$416,$406,$380
Sierra Leone,$461,$505,$493,$507,$520
Central African Republic,$427,$461,$435,$426,$436
Burundi,$238,$221,$217,$217,$232
Bhutan,$0,"$3,266","$3,010","$3,304","$3,211"
American Samoa,$0,"$15,743","$15,502","$13,673","$13,196"
Turkmenistan,$0,$0,"$7,297","$7,180","$6,721"
Faroe Islands,$0,"$69,010","$61,980","$63,383","$62,577"
Aruba,$0,"$29,342","$24,488","$31,903","$30,919"
Lebanon,$0,"$4,136","$5,600","$8,925","$9,226"
New Caledonia,$0,"$36,668","$34,701","$34,935","$36,495"
French Polynesia,$0,"$19,999","$18,985","$20,093","$20,615"
Tonga,$0,"$4,426","$4,606","$4,879","$4,650"
Afghanistan,$0,$364,$517,$501,$502
Cuba,$0,$0,"$9,500","$9,139","$8,832"
Isle Of Man,$0,$0,"$79,531","$87,152","$89,426"
Channel Islands,$0,"$67,961","$57,340","$61,281","$62,316"
Curacao,$0,"$17,718","$16,110","$19,024","$18,956"
Greenland,$0,"$57,116","$54,694","$53,310","$54,545"
San Marino,$0,"$54,982","$45,321","$47,287","$48,465"
Monaco,$0,"$234,317","$182,537","$199,383","$194,287"
Cayman Islands,$0,"$88,476","$83,898","$89,846","$85,232"
Palau,$0,"$12,084","$14,016","$15,567","$15,948"
Syrian Arab Republic,$0,$0,$537,"$1,125","$1,112"
Northern Mariana Islands,$0,$0,"$17,303","$23,687","$25,863"
Guam,$0,"$35,905","$34,781","$37,753","$35,903"
Liechtenstein,$0,"$184,083","$165,284","$167,259","$175,287"
Virgin Islands (U.S.),$0,$0,"$39,552","$38,596","$36,654"
